dataset,category,k,run_name,auroc,flip_rate_mean
visa,macaroni1,2,CLS-visa-macaroni1-k2-seed111-per_sample,0.8599699999999999,0.2449
visa,macaroni1,4,CLS-visa-macaroni1-k4-seed111-per_sample,0.86725,0.23361
visa,macaroni2,1,CLS-visa-macaroni2-k1-seed111-per_sample,0.6968500000000001,0.33491
visa,macaroni2,2,CLS-visa-macaroni2-k2-seed111-per_sample,0.78376,0.34098
visa,macaroni2,4,CLS-visa-macaroni2-k4-seed111-per_sample,0.74756,0.35893
visa,pcb1,1,CLS-visa-pcb1-k1-seed111-per_sample,0.9437151394422311,0.13923306772908367
visa,pcb1,2,CLS-visa-pcb1-k2-seed111-per_sample,0.9297310756972111,0.12219123505976096
visa,pcb1,4,CLS-visa-pcb1-k4-seed111-per_sample,0.9499900398406375,0.1095816733067729
visa,pcb2,1,CLS-visa-pcb2-k1-seed111-per_sample,0.8032967032967032,0.40264735264735263
visa,pcb2,2,CLS-visa-pcb2-k2-seed111-per_sample,0.7629470529470528,0.4141058941058941
visa,pcb2,4,CLS-visa-pcb2-k4-seed111-per_sample,0.7662837162837162,0.4006693306693307
visa,pcb3,1,CLS-visa-pcb3-k1-seed111-per_sample,0.7518886679920477,0.35493041749502985
visa,pcb3,2,CLS-visa-pcb3-k2-seed111-per_sample,0.7499105367793241,0.3281610337972167
visa,pcb3,4,CLS-visa-pcb3-k4-seed111-per_sample,0.8176838966202783,0.315934393638171
visa,pcb4,1,CLS-visa-pcb4-k1-seed111-per_sample,0.8736716417910448,0.20813930348258705
visa,pcb4,2,CLS-visa-pcb4-k2-seed111-per_sample,0.838865671641791,0.22750248756218905
visa,pcb4,4,CLS-visa-pcb4-k4-seed111-per_sample,0.8713631840796021,0.24201990049751243
visa,pipe_fryum,1,CLS-visa-pipe_fryum-k1-seed111-per_sample,0.9876999999999999,0.27096
visa,pipe_fryum,2,CLS-visa-pipe_fryum-k2-seed111-per_sample,0.9845799999999999,0.19666
visa,pipe_fryum,4,CLS-visa-pipe_fryum-k4-seed111-per_sample,0.9901599999999999,0.20762
