dataset,category,k,run_name,baseline_error,error_30,rel_drop_30,is_monotonic,improved_at_30pct
mvtec,zipper,4,CLS-mvtec-zipper-k4-seed111-per_sample,0.05015756302521,0.0160864345738295,0.6792819745699328,True,True
visa,candle,1,CLS-visa-candle-k1-seed111-per_sample,0.02883,0.0037857142857142,0.8686883702492473,True,True
visa,candle,2,CLS-visa-candle-k2-seed111-per_sample,0.07321,0.024025974025974,0.6718211442975823,True,True
visa,candle,4,CLS-visa-candle-k4-seed111-per_sample,0.05961,0.0234636363636363,0.6063808695917413,True,True
visa,capsules,1,CLS-visa-capsules-k1-seed111-per_sample,0.2740033222591362,0.2796155381586159,-0.0204822914306564,False,False
visa,capsules,2,CLS-visa-capsules-k2-seed111-per_sample,0.2658803986710963,0.2625428476700204,0.012552828330924021,False,True
visa,capsules,2,capsules,,,,False,False
visa,capsules,4,CLS-visa-capsules-k4-seed111-per_sample,0.3122591362126246,0.2953121637988781,0.05427214274430995,False,True
visa,cashew,1,CLS-visa-cashew-k1-seed111-per_sample,0.06598,0.0178571428571428,0.7293552158662807,True,True
visa,cashew,2,CLS-visa-cashew-k2-seed111-per_sample,0.10704,0.0598238095238095,0.44110790803615935,True,True
visa,cashew,4,CLS-visa-cashew-k4-seed111-per_sample,0.08196,0.0405523809523809,0.5052174115131661,True,True
visa,chewinggum,1,CLS-visa-chewinggum-k1-seed111-per_sample,0.0462624254473161,0.0185774923916218,0.5984323733138905,True,True
visa,chewinggum,2,CLS-visa-chewinggum-k2-seed111-per_sample,0.0411133200795228,0.0212220986874958,0.4838145241871178,True,True
visa,chewinggum,4,CLS-visa-chewinggum-k4-seed111-per_sample,0.0345328031809145,0.0148672420453581,0.5694747985713801,True,True
visa,fryum,1,CLS-visa-fryum-k1-seed111-per_sample,0.1161,0.0475571428571428,0.5903777531684513,True,True
visa,fryum,2,CLS-visa-fryum-k2-seed111-per_sample,0.10446,0.0506142857142857,0.5154673012226144,True,True
visa,fryum,4,CLS-visa-fryum-k4-seed111-per_sample,0.09008,0.0355666666666666,0.6051657785672002,True,True
visa,macaroni1,1,CLS-visa-macaroni1-k1-seed111-per_sample,0.23383,0.184012987012987,0.2130479963521063,True,True
